designacao,tipo,idatend,dicofre,morada,codigopostal,localidadepostal,telefone,email,site,latitude,longitude,nodeidet,entidadetutelar,nodeident,entidade
POSTO TERRITORIAL DE CALDAS DAS TAIPAS,Quartel GNR,13149,030808,Rua Padre José Maria Felgueiras,4805-123,Caldas das Taipas,253576117,ct.brg.dgmr.pcdt@gnr.pt,www.gnr.pt,41.488,-8.347,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE GUIMARÃES (S. TORCATO),Quartel GNR,13150,030868,"Quinta do Pinho,  nº 80, São Torcato",,Guimarães,253422575,ct.brg.dgmr.pgmr@gnr.pt,www.gnr.pt,41.471,-8.263,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE LORDELO,Quartel GNR,13151,030828,"Avª Professor Luís Machado, n.º  146",4815-131,Lordelo,252941115,ct.brg.dgmr.plrd@gnr.pt,www.gnr.pt,41.372,-8.378,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VIZELA,Quartel GNR,13152,031408,"Rua Amália Rodrigues,nº 352",4815-652,Vizela,253481261,ct.brg.dgnr.pvzl@gnr.pt,www.gnr.pt,41.372,-8.309,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CABECEIRAS DE BASTO,Quartel GNR,13153,030421,"Rio, Refojos",4860-408,Cabeceiras de Basto,253669060,ct.brg.dfaf.pcbb@gnr.pt,www.gnr.pt,41.510,-7.987,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CELORICO DE BASTO,Quartel GNR,13154,030523,"Rua 5 de Outubro, nº 81",4890-226,Celorico de Basto,255320010,ct.brg.dfaf.pclb@gnr.pt,www.gnr.pt,41.383,-8.001,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE FAFE,Quartel GNR,13155,030709,Rua Professor Manuel Costa,4820-282,Fafe,253490890,ct.brgdfaf.pfaf@gnr.pr,www.gnr.pt,41.448,-8.168,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE PÓVOA DE LANHOSO,Quartel GNR,13156,030919,"Rua Drº Custódio Silva, nº 61",4830-505,Póvoa de Lanhoso,253730130,ct.brg.dpvl@gnr.pt,www.gnr.pt,41.578,-8.267,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE AMARES,Quartel GNR,13157,030127,Rua da Cintura-Ferreiros,4720-342,Amares,253900070,ct.brg.dpvl.pamr@gnr.pt,www.gnr.pt,41.625,-8.361,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DO GERÊS,Quartel GNR,13158,031017,"Avª D. João V, nº 9/11",4845-067,Gerês,253900100,ct.brg.dpvl.pgrs@gnr.pt,www.gnr.pt,41.723,-8.163,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DA PÓVOA DE LANHOSO,Quartel GNR,13159,030919,"Rua Drº Custódio Silva, nº 61",4830-505,Póvoa de Lanhoso,253730130,ct.brg.dpvl.ppvl@gnr.pt,www.gnr.pt,41.578,-8.267,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ROSSAS,Quartel GNR,13160,031113,"Celeiró, Rossas",4850-289,Vieira do Minho,253656113,ct.brg.dpvl.prss@gnr.pt,www.gnr.pt,41.569,-8.106,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE TERRAS DE BOURO,Quartel GNR,13161,031010,"Lugar de Coreas, Moimenta",4840-100,Terras do Bouro,253351134,ct.brg.dpvl.ptrb@gnr.pt,www.gnr.pt,41.718,-8.309,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VIEIRA DO MINHO,Quartel GNR,13162,031120,Rua João de Deus,4850-535,Vieira do Minho,253647150,ct.brg.dpvl.pvrm@gnr.pt,www.gnr.pt,41.635,-8.141,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE TRÂNSITO DE BRAGA,Quartel GNR,13163,030351,"Rua do Taxa, S. Victor",4710-448,Braga,253609430,ct.brg.tbrg@gnr.pt,www.gnr.pt,41.556,-8.412,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO DE TRÂNSITO DE FAFE,Quartel GNR,13164,030739,Rua de Santa Maria,4820-005,Antime - Fafe,253509230,ct.brg.tbrg.tfaf@gnr.pt,www.gnr.pt,41.448,-8.168,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE INTERVENÇÃO DE BRAGA,Quartel GNR,13165,030351,"Rua do Taxa, S. Victor",4710-448,Braga,253203030,ct.brg.dint@gnr.pt,www.gnr.pt,41.556,-8.412,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
COMANDO TERRITORIAL DE BRAGANÇA,Quartel GNR,13166,040257,Avenida General Humberto Delgado,5301-859,Bragança,273300530,ct.bgc@gnr.pt,www.gnr.pt,41.808,-6.769,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE BRAGANÇA,Quartel GNR,13167,040257,Avenida General Humberto Delgado,5301-859,Bragança,273300530,ct.bgc.dbgc@gnr.pt,www.gnr.pt,41.808,-6.769,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE BRAGANÇA,Quartel GNR,13168,040257,Avenida General Humberto Delgado,5301-859,Bragança,273300530,ct.bgc.dbgc.pbgc@gnr.pt,www.gnr.pt,41.808,-6.769,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE IZEDA,Quartel GNR,13169,040252,"Rua Congregação Salasiana, S/N, Izeda",5300-613,Bragança,273958010,ct.bgc.dbgc.pizd@gnr.pt,www.gnr.pt,41.565,-6.728,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MACEDO DE CAVALEIROS,Quartel GNR,13170,040520,Rua Damião de Góis,5340-244,Macedo de Cavaleiros,278420030,ct.bgc.dbgc.pmcc@gnr.pt,www.gnr.pt,41.540,-6.965,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MORAIS,Quartel GNR,13171,040521,"Bairro dos Carris, nº 12",5340-351,Morais,278451149,ct.bgc.dbgc.pmrs@gnr.pt,www.gnr.pt,41.490,-6.780,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE REBORDELO,Quartel GNR,13172,041219,"Avenida dos Correios, nº 11",5335-103,Rebordelo,278369153,ct.bgc.dbgc.prbd@gnr.pt,www.gnr.pt,41.738,-7.163,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VINHAIS,Quartel GNR,13173,041235,Rua Plano Pormenor,5320-319,Vinhais,273770090,ct.bgc.dbgc.pvnh@gnr.pt,www.gnr.pt,41.834,-7.005,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE MIRANDA DO DOURO,Quartel GNR,13175,040608,Largo de São José,5210-187,Miranda do Douro,273430010,ct.bgc.dmdr@gnr.pt,www.gnr.pt,41.492,-6.275,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ARGOZELO,Quartel GNR,13176,041103,Largo de São Sebastião,5230-032,Argozelo,273589131,ct.bgc.dmdr.parz@gnr.pt,www.gnr.pt,41.639,-6.600,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MIRANDA DO DOURO,Quartel GNR,13177,040608,Largo de São José,5210-187,Miranda do Douro,273430010,ct.bgc.dmdr.pmdr@gnr.pt,www.gnr.pt,41.492,-6.275,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MOGADOURO,Quartel GNR,13178,040830,Avenida dos Bombeiros Voluntários,5200-264,Mogadouro,279340210,ct.bgc.dmdr.pmgd@gnr.pt,www.gnr.pt,41.340,-6.711,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SENDIM,Quartel GNR,13179,040620,"Rua Caminho do Prado, n.º 134",5225-125,Sendim,273739211,ct.bgc.dmdr.psmd@gnr.pt,www.gnr.pt,41.390,-6.427,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VIMIOSO,Quartel GNR,13180,041114,"Avenida Alcanices, nº 28",5230-308,Vimioso,273512216,ct.bgc.dmdr.pvms@gnr.pt,www.gnr.pt,41.591,-6.525,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE MIRANDELA,Quartel GNR,13181,040721,"Rua Manuel Pinto de Azevedo, nº 187",5370-460,Mirandela,278201000,ct.bgc.dmdl.ccom@gnr.pt,www.gnr.pt,41.491,-7.175,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CARRAZEDA DE ANSIÃES,Quartel GNR,13182,040304,Rua Luís de Camões,5140-073,Carrazeda de Ansiães,278610020,ct.bgc.dmdl.pcrz@gnr.pt,www.gnr.pt,41.247,-7.308,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MIRANDELA,Quartel GNR,13183,040721,"Rua Manuel Pinto de Azevedo, nº 187",5370-460,Mirandela,278265325,ct.bgc.dmdl.pmdl@gnr.pt,www.gnr.pt,41.491,-7.175,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE TORRE DE DONA CHAMA,Quartel GNR,13184,040730,Rua João Júlio Macedo,5385-112,Torre de Dona Chama,278312102,ct.bgc.dmdl.ptrc@gnr.pt,www.gnr.pt,41.650,-7.129,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA FLOR,Quartel GNR,13185,041023,Rua da Paz,5360-350,Vila Flôr,278518130,ct.bgc.dmdl.pvlf@gnr.pt,www.gnr.pt,41.308,-7.149,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE TORRE DE MONCORVO,Quartel GNR,13186,040916,"Avenida Jorge Luís Borges, nº 34",5160-220,Torre de Moncorvo,279254303,ct.bgc.dtmc.ccom@gnr.pt,www.gnr.pt,41.175,-7.043,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ALFÂNDEGA DA FÉ,Quartel GNR,13187,040102,Rua Branco Rodrigues,5350-003,Alfândega da Fé,279462103,ct.bgc.dtmc.pafe@gnr.pt,www.gnr.pt,41.343,-6.959,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE FREIXO DE ESPADA À CINTA,Quartel GNR,13188,040407,"Largo do Vale, nº 12",5180-121,Freixo de Espada à Cinta,279653323,ct.bgc.dtmc.pfec@gnr.pt,www.gnr.pt,41.092,-6.805,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE TORRE DE MONCORVO,Quartel GNR,13189,040916,"Avenida Jorge Luís Borges, nº 34",5160-220,Torre de Moncorvo,279254115,ct.bgc.dtmc.ptmc@gnr.pt,www.gnr.pt,41.175,-7.043,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE TRÂNSITO DE BRAGANÇA,Quartel GNR,13190,040257,Avenida General Humberto Delgado,5300-167,Bragança,273300530,ct.bgc.tbgc@gnr.pt,www.gnr.pt,41.808,-6.769,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE INTERVENÇÃO DE BRAGANÇA,Quartel GNR,13191,040257,Avenida General Humberto Delgado,5301-859,Bragança,273300570,,www.gnr.pt,41.808,-6.769,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
COMANDO TERRITORIAL DE CASTELO BRANCO,Quartel GNR,13192,050205,Av. Cidade de Zhuhai,6000-077,Castelo Branco,272340900,ct.ctb@gnr.pt,www.gnr.pt,39.818,-7.505,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE CASTELO BRANCO,Quartel GNR,13193,050201,"Urbanização de São Domingos, Rua João dos Santos, nº 1 e 3",6005-001,Alcains,272900060,ct.ctb.dctb@gnr.pt,www.gnr.pt,39.914,-7.469,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ALCAINS,Quartel GNR,13194,050201,"Urbanização de São Domingos, Rua João dos Santos, nº 1 e 3",6005-001,Alcains,272900060,ct.ctb.dctb.palc@gnr.pt,www.gnr.pt,39.914,-7.469,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CASTELO BRANCO,Quartel GNR,13195,050205,Av. Cidade de Zhuhai,6000-077,Castelo Branco,272340900,ct.ctb.dctb.pctb@gnr.pt,www.gnr.pt,39.818,-7.505,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CEBOLAIS DE CIMA,Quartel GNR,13196,050226,"Rua do Monte, nº 57, Cebolais de Cima",6000-500,Castelo Branco,272989181,ct.ctb.dctb.pcbc@gnr.pt,www.gnr.pt,39.747,-7.567,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MALPICA DO TEJO,Quartel GNR,13197,050214,"Rua de São Bento, Malpica do Tejo",6000-560,Castelo Branco,272913128,ct.ctb.dctb.pmpt@gnr.pt,www.gnr.pt,39.684,-7.392,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DA MATA,Quartel GNR,13198,050227,"Rua Nova da Escola, n.º 40",6005-250,Mata,272467146,ct.ctb.dctb.pmat@gnr.pt,www.gnr.pt,39.895,-7.344,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SÃO VICENTE DA BEIRA,Quartel GNR,13199,050222,Rua Padre Leonardo Nunes,6005-270,São Vicente da Beira,272487211,ct.ctb.dctb.psvb@gnr.pt,www.gnr.pt,40.039,-7.562,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE TINALHAS,Quartel GNR,13200,050225,"Rua Visconde de Tinalhas, nº 6",6000-740,Castelo Branco,272437114,ct.ctb.dctb.ptnl@gnr.pt,www.gnr.pt,39.948,-7.530,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA VELHA DE RÓDÃO,Quartel GNR,13201,051104,Rua de Santana - Vila Velha de Ródão,6030-230,Vila Velha de Ródão,272549050,ct.ctb.dctb.pvvr@gnr.pt,www.gnr.pt,39.659,-7.678,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DA COVILHÃ,Quartel GNR,13202,050335,Rua Diamantino Alves da Costa,6201-012,Covilhã,275320660,ct.ctb.dcvl@gnr.pt,www.gnr.pt,40.278,-7.495,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE BELMONTE,Quartel GNR,13203,050106,"Loteamento do Olival Grande, EP3",6250-056,Belmonte,275910020,ct.ctb.dcvl.pblm@gnr.pt,www.gnr.pt,40.362,-7.349,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CARIA,Quartel GNR,13204,050102,"Loteamento Cerca dos Condes, Lt 5 M",6250-111,Caria,275476141,ct.ctb.dcvl.pcar@gnr.pt,www.gnr.pt,40.295,-7.367,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DA COVILHÃ,Quartel GNR,13205,050335,Rua Diamantino Alves da Costa,6201-012,Covilhã,275320660,ct.ctb.dcvl.pcvl@gnr.pt,www.gnr.pt,40.278,-7.495,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PAUL,Quartel GNR,13206,050314,Largo Drº Carlos Coelho,6215-424,Paul,275961116,ct.ctb.dcvl.ppal@gnr.pt,www.gnr.pt,40.203,-7.636,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE TEIXOSO,Quartel GNR,13207,050337,Avenida Maia Campos,6200-680,Teixoso,275920130,ct.ctb.dcvl.ptxs@gnr.pt,www.gnr.pt,40.318,-7.456,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE TORTOSENDO,Quartel GNR,13208,050324,"EM 513, Sítio do Souto Escuro",6200-789,Tortozendo,275957350,ct.ctb.dcvl.ptts@gnr.pt,www.gnr.pt,40.230,-7.526,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE UNHAIS DA SERRA,Quartel GNR,13209,050325,"Bairro de S. José, nº 4",6215-522,Unhais da Serra,275971117,ct.ctb.dcvl.puns@gnr.pt,www.gnr.pt,40.259,-7.624,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DO FUNDÃO,Quartel GNR,13210,050434,Rua Cidade da Covilhã,6230-346,Fundão,275759030,ct.ctb.dfnd@gnr.pt,www.gnr.pt,40.143,-7.497,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ALPEDRINHA,Quartel GNR,13211,050406,Largo do Olival de Santo António,6230-069,Alpedrinha,275567102,ct.ctb.dfnd.papd@gnr.pt,www.gnr.pt,40.096,-7.466,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DO FUNDÃO,Quartel GNR,13212,050434,Rua Cidade da Covilhã,6230-346,Fundão,275759030,ct.ctb.dfnd.pfnd@gnr.pt,www.gnr.pt,40.143,-7.497,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PENAMACOR,Quartel GNR,13213,050710,Estrada Nacional  233 Norte,6090-534,Penamacor,277394274,ct.ctb.dfnd.ppnm@gnr.pt,www.gnr.pt,40.172,-7.168,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SILVARES,Quartel GNR,13214,050424,"Rua do Outeiro, nº 60 A",6230-661,Silvares,275662435,ct.ctb.dfnd.psvr@gnr.pt,www.gnr.pt,40.137,-7.670,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DA SOALHEIRA,Quartel GNR,13215,050425,"Avenida João S. Rolão Preto, nº 17",6005-300,Soalheira,272419216,ct.ctb.dfnd.pslr@gnr.pt,www.gnr.pt,40.036,-7.478,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE IDANHA-A-NOVA,Quartel GNR,13216,050518,Rua Heróis do Ultramar,6060-146,Idanha-a-Nova,277200050,ct.ctb.didn@gnr.pt,www.gnr.pt,39.923,-7.241,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE IDANHA-A-NOVA,Quartel GNR,13217,050518,Rua Heróis do Ultramar,6060-146,Idanha-a-Nova,277200050,ct.ctb.didn.pidn@gnr.pt,www.gnr.pt,39.923,-7.241,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DO LADOEIRO,Quartel GNR,13218,050505,E.N. 240,6060-261,Ladoeiro,277927175,ct.ctb.didn.pldr@gnr.pt,www.gnr.pt,39.835,-7.261,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MONSANTO,Quartel GNR,13219,050520,"Avenida Fernando Ramos Rocha,n.º 3",6060-091,Monsanto,277314347,ct.ctb.didn.pmst@gnr.pt,www.gnr.pt,40.040,-7.110,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ROSMANINHAL,Quartel GNR,13220,050512,"Rua do Espírito Santo, nº 11",6060-423,Rosmaninhal,277477140,ct.ctb.didn.prsm@gnr.pt,www.gnr.pt,39.729,-7.086,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE TERMAS DE MONFORTINHO,Quartel GNR,13221,050519,Logradouro das Piscinas Municipais,6060-072,Termas Monfortinho,277434225,ct.ctb.didn.pmft@gnr.pt,www.gnr.pt,39.997,-6.878,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DA ZEBREIRA,Quartel GNR,13222,050521,"Estrada Nacional, n.º 240",6060-557,Zebreira,277427123,ct.ctb.didn.pzbr@gnr.pt,www.gnr.pt,39.848,-7.067,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DA SERTÃ,Quartel GNR,13223,050912,Rua Manuel Ferreira Marques dos Santos-Abegoaria,6100-601,Sertã,274600730,ct.ctb.dsrt@gnr.pt,www.gnr.pt,39.798,-8.096,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CERNACHE DO BONJARDIM,Quartel GNR,13224,050915,"Rua Doutor Bravo Serra, Lote 53",6100-197,Cernache do Bonjardim,274800110,ct.ctb.dsrt.pcnb@gnr.pt,www.gnr.pt,39.811,-8.185,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE OLEIROS,Quartel GNR,13225,050614,Largo do Hospital,6160-406,Oleiros,272682311,ct.ctb.dsrt.polr@gnr.pt,www.gnr.pt,39.920,-7.913,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PROENÇA-A-NOVA,Quartel GNR,13226,050807,"Rua da Guarda Nacional Republicana, n.º 1",6150-546,Proença-a-Nova,274672667,ct.ctb.dsrt.pprn@gnr.pt,www.gnr.pt,39.751,-7.920,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DA SERTÃ,Quartel GNR,13227,050912,Rua Manuel Ferreira Marques dos Santos-Abegoaria,6100-601,Sertã,274600730,ct.ctb.dsrt.psrt@gnr.pt,www.gnr.pt,39.798,-8.096,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA DE REI,Quartel GNR,13228,051003,Avenida José Cardoso Pires,6110-117,Vila de Rei,274890020,ct.ctb.dsrt.pvlr@gnr.pt,www.gnr.pt,39.680,-8.143,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE TRÂNSITO DE CASTELO BRANCO,Quartel GNR,13229,050205,Av. Cidade de Zhuhai,6000-077,Castelo Branco,272348510,ct.ctb.tctb@gnr.pt,www.gnr.pt,39.818,-7.505,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE INTERVENÇÃO DE CASTELO BRANCO,Quartel GNR,13230,050205,Av. Cidade de Zhuhai,6000-077,Castelo Branco,272340900,ct.ctb.dint@gnr.pt,www.gnr.pt,39.818,-7.505,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
COMANDO TERRITORIAL DE COIMBRA,Quartel GNR,13231,060318,Avenida Dr. Dias da Silva nº 122,3000-135,Coimbra,239794300,ct.cbr@gnr.pt,www.gnr.pt,40.211,-8.410,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE CANTANHEDE,Quartel GNR,13232,060334,Avenida Bombeiros Voluntários,3060-909,Cantanhede,231422446,ct.cbr.dcnt@gnr.pt,www.gnr.pt,40.347,-8.587,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ANÇÃ,Quartel GNR,13233,060201,Rua dos Ex Combatentes,3060-053,Ançã,239960000,ct.cbr.dcnt.pan@gnr.pt,www.gnr.pt,40.275,-8.516,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CANTANHEDE,Quartel GNR,13234,060220,Rua Bombeiros Voluntários,3060-163,Cantanhede,231422446,ct.cbr.dcnt.pcnt@gnr.pt,www.gnr.pt,40.347,-8.587,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MIRA,Quartel GNR,13235,060801,Rua Oscar Moreira da Silva,3070-330,Mira,231489500,ct.cbr.dcnt.pmir@gnr.pt,www.gnr.pt,40.428,-8.739,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PRAIA DE MIRA,Quartel GNR,13236,060804,"Estrada Florestal, 6 - Praia de Mira",3070-792,Mira,231471218,ct.cbr.dcnt.pprm@gnr.pt,www.gnr.pt,40.450,-8.801,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DA TOCHA,Quartel GNR,13237,060214,Rua da Lagoa da Mata,3060-673,Tocha,231440100,ct.cbr.dcnt.ptch@gnr.pt,www.gnr.pt,40.309,-8.760,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE COIMBRA,Quartel GNR,13238,060318,"Avenida Dr. Dias da Silva, nº 122",3000-135,Coimbra,239794323,ct.cbr.dcbr@gnr.pt,www.gnr.pt,40.211,-8.410,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CONDEIXA-A-NOVA,Quartel GNR,13239,060411,Rua Longjumeau - Condeixa-a-Nova,3150-122,Condeixa-a-Nova,239940250,ct.cbr.dcbr.pcdn@gnr.pt,www.gnr.pt,40.109,-8.500,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PENACOVA,Quartel GNR,13240,061307,"Rua da Eirinha, n.º 27",3360-330,Penacova,239470160,ct.cbr.dcbr.ppnc@gnr.pt,www.gnr.pt,40.270,-8.283,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SOUSELAS,Quartel GNR,13241,060318,"Avenida Dr. Dias da Silva, nº 122",3000-135,Coimbra,239794323,ct.cbr.dcbr.pssl@gnr.pt,www.gnr.pt,40.211,-8.410,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE TAVEIRO,Quartel GNR,13242,060340,Rua Professor Guilherme Tomé,3045-503,Taveiro,239989050,ct.cbr.dcbr.ptvr@gnr.pt,www.gnr.pt,40.202,-8.503,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DA LOUSÃ,Quartel GNR,13243,060708,Rua General Humberto Delgado,3200-242,Lousã,239990060,ct.cbr.dlsa@gnr.pt,www.gnr.pt,40.110,-8.252,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DA LOUSÃ,Quartel GNR,13244,060708,Rua General Humberto Delgado,3200-242,Lousã,239990060,ct.cbr.dlsa.plsa@gnr.pt,www.gnr.pt,40.110,-8.252,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MIRANDA DO CORVO,Quartel GNR,13245,060902,Rua Dr. Mota Pinto,3220-201,Miranda do Corvo,239532147,ct.cbr.dlsa.pmrc@gnr.pt,www.gnr.pt,40.089,-8.330,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PENELA,Quartel GNR,13246,061407,"Rua 25 de Abril, n.º 15",3230-280,Penela,239569135,ct.cbr.dlsa.ppnl@gnr.pt,www.gnr.pt,40.030,-8.391,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA NOVA DE POIARES,Quartel GNR,13247,061703,Rua General Humberto Delgado,3350-160,Vila Nova de Poiares,239421119,ct.cbr.dlsa.pvnp@gnr.pt,www.gnr.pt,40.210,-8.259,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
